,ID,Sexo,Edad,NSE,Zona,COMUNA,Expansor,auto_propio,residencia,usuario_app_mov,no_uso_mov_precio,no_uso_mov_autopropio,no_uso_mov_taxi,no_uso_mov_publico,no_uso_mov_confianza,no_uso_mov_trauma,no_uso_mov_conocimiento,no_uso_mov_nodisp,app_mov_uber,app_mov_didi,app_mov_cabify,app_mov_lime,app_mov_whoosh,app_mov_jet,app_mov_indrive,app_mov_biciitau,app_mov_otro,tiempo_app_mov,frec_app_mov,fin_app_mov_trabajoestudio,fin_app_mov_ocio,fin_app_mov_tramitescompras,fin_app_mov_conectcontransporte,fin_app_mov_otro,reemplazo_app_mov,posit_app_mov,negat_app_mov,sit_app_mov_atraso,sit_app_mov_noche,sit_app_mov_sintranspub,sit_app_mov_cansado,sit_app_mov_grupo,sit_app_mov_desconocido,sit_app_mov_inseguro,usuario_app_deli,no_uso_deli_precio,no_uso_deli_presencial,no_uso_deli_confianza,no_uso_deli_conocimiento,no_uso_deli_nodisp,app_deli_rappi,app_deli_pedidosya,app_deli_ubereats,app_deli_didifood,app_deli_especifica,app_deli_otra,tiempo_app_deli,frec_app_deli,posit_app_deli,negat_app_deli,sit_app_deli_tiempo,sit_app_deli_cansado,sit_app_deli_gusto,sit_app_deli_especial,sit_app_deli_grupo,taxi_calle,taxi_terminal,taxi_agencia,taxi_conocido,taxi_app,taxi_no,auto_o_app_mov_gratis,renuncia_app_mov_vs_deli,impacto_no_app_mov,impacto_no_app_deli,impacto_abierta
1825,1826,FEMENINO,[41 - 50],C2,RM,SANTIAGO,6063.377447843339,Tengo mi propio auto,Urbano,Como usuario,,,,,,,,,Uber,,,,,,,,,2-3 años - Desde después de la pandemia,Menos de una vez al mes,,"Para ir o volver de eventos de ocio (reuniones sociales, conciertos, cine, etc.)",,,,Con un taxi tradicional,Comodidad,Finanzas personales o del hogar,,,Cuando el transporte público no está disponible a la hora o lugar donde voy,,,Cuando no conozco bien el lugar a donde voy,Cuando el lugar hacia donde o desde donde voy me parece inseguro,Nunca las he usado,,,,,No están disponibles donde vivo,,,,,,,,,,,,,Cuando me quiero dar un gusto,Para una reunión social o alguna fecha especial,Cuando estoy con más personas y puedo compartir el costo,"Sí, paré un taxi en la calle",,,,,,Poder usar la aplicación de movilidad gratuita,Renunciaría a las aplicaciones de delivery,No me afectaría,No me afectaría,No estoy acostumbrada a usar estas app
1826,1827,FEMENINO,[18 - 30],D+E,V Región,VALPARAÍSO,8758.211869107043,"No tengo auto, ni puedo pedir prestado uno/No sé manejar",Sub-urbano,Como usuario,,,,,,,,,Uber,Didi,,,,,InDrive,,,Menos de un año,Cuatro o más veces a la semana,Para ir o volver del trabajo o del lugar de estudio,,,,,Transporte público,Salud física,Salud mental,,Cuando se hizo de noche,,,,Cuando no conozco bien el lugar a donde voy,Cuando el lugar hacia donde o desde donde voy me parece inseguro,Como usuario,,,,,,,,,DiDi Food,,,Menos de un año,Al menos una vez a la semana,Salud mental,Salud mental,Cuando tengo mucho que hacer y no tengo tiempo para cocinar/comprar,Cuando estoy cansado/a,,Para una reunión social o alguna fecha especial,,,,,,,No,Tener auto y bencina gratuitos,Renunciaría a las aplicaciones de movilidad,No me afectaría,No me afectaría,No me afectaría ya que no los utilizo
1827,1828,MASCULINO,[41 - 50],C2,RM,LA FLORIDA,6992.443347109655,"No soy dueño de un auto, pero puedo pedir prestado un auto a un familiar o amigo cuando lo necesito",Urbano,Como usuario,,,,,,,,,Uber,,,,,,InDrive,,,4-7 años - Desde la pandemia o un poco antes,Entre una y tres veces al mes,,"Para ir o volver de eventos de ocio (reuniones sociales, conciertos, cine, etc.)",,,,Transporte público,Comodidad,Finanzas personales o del hogar,,Cuando se hizo de noche,Cuando el transporte público no está disponible a la hora o lugar donde voy,Cuando estoy cansado/a,,,,Como usuario,,,,,,,PedidosYa,,,,,4-5 años - Desde la pandemia,Al menos una vez al mes,Comodidad,Finanzas personales o del hogar,Cuando tengo mucho que hacer y no tengo tiempo para cocinar/comprar,Cuando estoy cansado/a,Cuando me quiero dar un gusto,,,,,,,,No,Tener auto y bencina gratuitos,Renunciaría a las aplicaciones de delivery,Empeoraría un poco mi vida,No me afectaría,"Las aplicaciones de transporte son muy utiles, las de reparto no son tan importantes"
1828,1829,MASCULINO,[31 - 40],C3,Sur,TEMUCO,7785.077216984038,Tengo mi propio auto,Urbano,Como usuario,,,,,,,,,Uber,Didi,,,Whoosh,,InDrive,,,8-11 años - Desde que llegaron a Chile (2014) o un poco después,Menos de una vez al mes,,"Para ir o volver de eventos de ocio (reuniones sociales, conciertos, cine, etc.)",,"Para trasladarme hacia o desde terminal de buses, al aeropuerto o a la estación de tren al hacer un viaje",,Transporte público,Comodidad,Finanzas personales o del hogar,Cuando voy atrasado/a,,Cuando el transporte público no está disponible a la hora o lugar donde voy,,Cuando voy con más personas y puedo compartir el costo,,,Como usuario,,,,,,,PedidosYa,Uber Eats,,"Pido delivery a través de la página específica del restaurant o retailer (Lider, Jumbo, Sushi, Pizzerías, etc.)",,4-5 años - Desde la pandemia,Solo ocasionalmente (menos de una vez al mes),Tiempo para trabajar,Finanzas personales o del hogar,Cuando tengo mucho que hacer y no tengo tiempo para cocinar/comprar,,Cuando me quiero dar un gusto,Para una reunión social o alguna fecha especial,,,,,,,No,Tener auto y bencina gratuitos,Renunciaría a las aplicaciones de delivery,No me afectaría,No me afectaría,"La verdad es que no las utilizo frecuentemente, sino cuando realmente las requiero, no es un hábito. Las de movilidad me gustan porque se sabe de antemano el precio que pagarás por trasladarte, y las de delivery a veces tienen buenas promociones o convenios, sin embargo intento no generar gastos extras en comida a menos que sea para darme un gusto."
1829,1830,MASCULINO,[61 Ó MAS],D+E,RM,BUIN,6992.443347109655,"No tengo auto, ni puedo pedir prestado uno/No sé manejar",Urbano,No las he usado dentro de los últimos 12 meses,El precio es muy alto,,,Prefiero usar transporte público,,,,,,,,,,,,,,,,,,,,,,,,,,Cuando el transporte público no está disponible a la hora o lugar donde voy,,Cuando voy con más personas y puedo compartir el costo,,Cuando el lugar hacia donde o desde donde voy me parece inseguro,Como usuario,,,,,,,PedidosYa,,,,,Menos de un año,Solo ocasionalmente (menos de una vez al mes),Comodidad,Finanzas personales o del hogar,Cuando tengo mucho que hacer y no tengo tiempo para cocinar/comprar,,Cuando me quiero dar un gusto,,Cuando estoy con más personas y puedo compartir el costo,,,,,,No,Tener auto y bencina gratuitos,Renunciaría a las aplicaciones de delivery,Empeoraría mucho mi vida,No me afectaría,La primera me afectectaria porque en un momento de urgencia no tendría esa posibilidad de desplazamiento rapido. La segunda no me afectaría mucho ya que no utilizo mucho el delibery.
1830,1831,FEMENINO,[41 - 50],C3,RM,MAIPÚ,6467.602611032894,Tengo mi propio auto,Urbano,Como usuario,,,,,,,,,Uber,,Cabify,,,,,,,4-7 años - Desde la pandemia o un poco antes,Entre una y tres veces al mes,Para ir o volver del trabajo o del lugar de estudio,,,,,Transporte público,Salud física,Comodidad,,Cuando se hizo de noche,,Cuando estoy cansado/a,,,Cuando el lugar hacia donde o desde donde voy me parece inseguro,Como usuario,,,,,,,,Uber Eats,,,,6-8 años - Desde que llegaron a Chile (2018) o un poco después,Al menos una vez al mes,Tiempo para actividades de ocio y/o descanso,Comodidad,Cuando tengo mucho que hacer y no tengo tiempo para cocinar/comprar,,,Para una reunión social o alguna fecha especial,Cuando estoy con más personas y puedo compartir el costo,,,,,,No,Tener auto y bencina gratuitos,Renunciaría a las aplicaciones de delivery,Empeoraría un poco mi vida,Empeoraría un poco mi vida,"Me sirve tener aplicaciones para movilizarme a mi trabajo, al terreno y cuando es peligroso el sector. Aplicaciónes de comida es cómodo cuando no hay tiempo para cocinar o se quiere comer algo rico."
1831,1832,FEMENINO,[61 Ó MAS],D+E,RM,CERRO NAVIA,6728.870094557851,"No tengo auto, ni puedo pedir prestado uno/No sé manejar",Sub-urbano,Como usuario,,,,,,,,,Uber,Didi,,,,,,,,4-7 años - Desde la pandemia o un poco antes,Entre una y tres veces a la semana,,"Para ir o volver de eventos de ocio (reuniones sociales, conciertos, cine, etc.)",Para hacer trámites o compras,"Para trasladarme hacia o desde terminal de buses, al aeropuerto o a la estación de tren al hacer un viaje",,Caminando,Salud física,Finanzas personales o del hogar,,Cuando se hizo de noche,,Cuando estoy cansado/a,,,Cuando el lugar hacia donde o desde donde voy me parece inseguro,Como usuario,,,,,,,,Uber Eats,DiDi Food,,,2-3 años - Desde después de la pandemia,Al menos una vez a la semana,Tiempo para trabajar,Salud mental,Cuando tengo mucho que hacer y no tengo tiempo para cocinar/comprar,Cuando estoy cansado/a,Cuando me quiero dar un gusto,,,,,,,,No,Poder usar la aplicación de movilidad gratuita,Renunciaría a las aplicaciones de delivery,Empeoraría un poco mi vida,Empeoraría mucho mi vida,Empeoraría porque no tendría como andar en behiculo
1832,1833,MASCULINO,[31 - 40],C3,Sur,CALBUCO,7785.077216984038,"No tengo auto, ni puedo pedir prestado uno/No sé manejar",Sub-urbano,Como usuario,,,,,,,,,Uber,Didi,Cabify,,,,,,,4-7 años - Desde la pandemia o un poco antes,Entre una y tres veces a la semana,Para ir o volver del trabajo o del lugar de estudio,"Para ir o volver de eventos de ocio (reuniones sociales, conciertos, cine, etc.)",Para hacer trámites o compras,"Para trasladarme hacia o desde terminal de buses, al aeropuerto o a la estación de tren al hacer un viaje",,Bicicleta,Comodidad,Finanzas personales o del hogar,Cuando voy atrasado/a,,,Cuando estoy cansado/a,Cuando voy con más personas y puedo compartir el costo,,,Como usuario,,,,,,Rappi,PedidosYa,Uber Eats,,,,2-3 años - Desde después de la pandemia,Dos o tres veces al mes,Tiempo para actividades de ocio y/o descanso,Finanzas personales o del hogar,Cuando tengo mucho que hacer y no tengo tiempo para cocinar/comprar,Cuando estoy cansado/a,,,Cuando estoy con más personas y puedo compartir el costo,"Sí, paré un taxi en la calle",,,,,,Tener auto y bencina gratuitos,Renunciaría a las aplicaciones de delivery,Empeoraría un poco mi vida,No me afectaría,"Me gusta viajar en uber pero no es tan importante, podría ocupar muchos medios. Las de comida no compro siempre, puedo cocinar yo, no me afecta."
1833,1834,FEMENINO,[31 - 40],ABC1,RM,SANTIAGO,6881.452182869821,Tengo mi propio auto,Urbano,Como usuario,,,,,,,,,Uber,,Cabify,,,,,,,4-7 años - Desde la pandemia o un poco antes,Entre una y tres veces a la semana,,"Para ir o volver de eventos de ocio (reuniones sociales, conciertos, cine, etc.)",,,,Transporte público,Comodidad,Finanzas personales o del hogar,Cuando voy atrasado/a,Cuando se hizo de noche,,,,Cuando no conozco bien el lugar a donde voy,,Como usuario,,,,,,,,,,"Pido delivery a través de la página específica del restaurant o retailer (Lider, Jumbo, Sushi, Pizzerías, etc.)",,4-5 años - Desde la pandemia,Al menos una vez al mes,Comodidad,Finanzas personales o del hogar,Cuando tengo mucho que hacer y no tengo tiempo para cocinar/comprar,,Cuando me quiero dar un gusto,Para una reunión social o alguna fecha especial,,,,,,,No,Tener auto y bencina gratuitos,Renunciaría a las aplicaciones de delivery,Empeoraría un poco mi vida,Mejoraría mucho mi vida,No se
1834,1835,FEMENINO,[61 Ó MAS],D+E,RM,ESTACIÓN CENTRAL,6728.870094557851,Tengo mi propio auto,Urbano,No las he usado dentro de los últimos 12 meses,,Uso mi propio auto,,Prefiero usar transporte público,,,No sé cómo usarlas,,,,,,,,,,,,,,,,,,,,,,,Cuando el transporte público no está disponible a la hora o lugar donde voy,,,Cuando no conozco bien el lugar a donde voy,Cuando el lugar hacia donde o desde donde voy me parece inseguro,Nunca las he usado,,Prefiero ir yo mismo de forma presencial,,No sé cómo usarlas,,,,,,,,,,,,Cuando tengo mucho que hacer y no tengo tiempo para cocinar/comprar,,Cuando me quiero dar un gusto,Para una reunión social o alguna fecha especial,,,"Sí, desde un aeropuerto, estación de buses, u otro lugar donde suelen estacionarse para esperar pasajeros",,,,,Poder usar la aplicación de movilidad gratuita,Renunciaría a las aplicaciones de delivery,No me afectaría,No me afectaría,"Tengo 61 año soy de la generación dorada  , creci sin necesitarías  por lo tanto no me afectaría si  dejara de existir"
